日期,0:00储电量（kWh）,24:00储电量（kWh）,计划购电量（kWh）,紧急购电量（kWh）,充电量（kWh）,放电量（kWh）,弃电量（kWh）,计划购电费（元）,紧急购电费（元）,总购电费（元）
2025-04-02,6000.0,6000.0,58978.26923445596,5852.717625860127,21226.96616293401,17193.84259197655,362.52788935863657,35769.15850244097,15695.785152388802,51464.943654829774
2025-04-03,6000.0,6000.0,64721.610260486916,0.0,20492.436833827847,16598.873835400558,4964.516995392965,39059.16150519549,0.0,39059.16150519549
2025-04-04,6000.0,6000.0,28841.518592100387,0.0,15711.537008753794,12726.344977090572,19425.524310437162,14583.56492627467,0.0,14583.56492627467
2025-04-05,6000.0,6000.0,29072.084731865754,0.0,16158.300354594701,13088.223287221706,13957.89268115943,14650.708824254143,0.0,14650.708824254143
2025-04-06,6000.0,6000.0,60321.74282823154,0.0,19529.248867997427,15818.691583077918,2201.109276645363,36612.38864548392,0.0,36612.38864548392
2025-04-07,6000.0,6000.0,63279.584641252026,0.0,19968.05237120207,16174.122420673679,6242.9354073903105,37897.01972094443,0.0,37897.01972094443
2025-04-08,6000.0,6000.0,64717.490533369055,0.0,20493.468706625914,16599.70965236699,6470.537862443469,38667.793643382334,0.0,38667.793643382334
2025-04-09,6000.0,6000.0,63257.91581545563,453.88048191949576,19800.88538201371,16038.717159431108,815.3170581258505,38048.181016653376,1294.0078667023663,39342.188883355746
2025-04-10,6000.0,6000.0,62410.230931774946,0.0,20555.862171180634,16650.24835865631,4043.979219250621,37478.15294204226,0.0,37478.15294204226
2025-04-11,6000.0,6000.0,27759.9402494818,0.0,15985.212302641266,12948.021965139424,19406.099745313288,13844.720966205838,0.0,13844.720966205838
2025-04-12,6000.0,6000.0,28786.62072076893,0.0,16145.023762584864,13077.469247693738,16693.90565587781,14451.868791588178,0.0,14451.868791588178
2025-04-13,6000.0,6000.0,57284.88993951316,939.977512203591,20081.758880758396,16266.224693414306,132.97478103932502,34621.9481494075,2380.118238551386,37002.06638795889
2025-04-14,6000.0,6000.0,60865.33837045092,0.0,20899.13434161355,16928.29881670697,4366.471045544349,36357.53929977017,0.0,36357.53929977017
2025-04-15,6000.0,6000.0,61561.26543671778,0.0,18353.1985403936,14866.090817718821,7934.728880709671,36900.470805807985,0.0,36900.470805807985
2025-04-16,6000.0,6000.0,61894.37598478705,0.0,19646.92071528043,15914.005779377145,2381.869098883772,36983.67057083953,0.0,36983.67057083953
2025-04-17,6000.0,6000.0,59496.487237621805,0.0,19427.75806239085,15736.48403053659,2936.8708557675454,35760.91469640452,0.0,35760.91469640452
2025-04-18,6000.0,6000.0,26968.851058425007,13.58747793047737,15783.881015515419,12784.943622567485,17629.383960074218,13286.60613538367,28.83942190743822,13315.445557291108
2025-04-19,6000.0,6000.0,27915.820821486013,0.0,15600.054784387194,12636.044375353627,18167.131162452446,13861.663342974665,0.0,13861.663342974665
2025-04-20,6000.0,6000.0,56659.198360003866,0.0,21211.03022716955,17180.93448400734,671.357733508327,33813.612825398806,0.0,33813.612825398806
2025-04-21,6000.0,6000.0,57955.83392043974,11.525207383379438,19764.457865521064,16009.210871072062,5695.201750040787,34456.73639450148,24.4392022564561,34481.17559675794
2025-04-22,6000.0,6000.0,57672.588352002385,0.0,19810.979728462335,16046.893580054491,1755.5728869278814,34588.94279938021,0.0,34588.94279938021
2025-04-23,6000.0,6000.0,60940.54824056409,0.0,18613.150259955495,15076.65171056395,6004.132974505878,36190.845838795576,0.0,36190.845838795576
2025-04-24,6000.0,6000.0,57116.3330382296,0.0,19030.07768822764,15414.36292746439,6410.511577466356,34261.57369605925,0.0,34261.57369605925
2025-04-25,6000.0,6000.0,25812.639351539314,143.93383594004462,16276.545200316124,13184.00161225606,20863.671949419288,12403.396489845309,370.13957156900244,12773.536061414312
2025-04-26,6000.0,6000.0,25582.65526616897,480.9013292502934,16217.829326983228,13136.441754856416,22911.975389959116,12286.689322927417,1864.6048009671122,14151.29412389453
2025-04-27,6000.0,6000.0,51113.85607809224,1715.7495588132097,20116.109163811467,16294.048422687287,434.0737124479407,30657.22133810797,6146.851290485249,36804.07262859322
2025-04-28,6000.0,6000.0,51858.18746151422,8618.713741104448,19910.411250357727,16127.43311278976,71.95574838404445,31130.56830618505,21178.42408244958,52308.99238863463
2025-04-29,6000.0,6000.0,57166.03978599599,339.53376444746857,18115.814517656807,14673.80975930201,6630.3550754220005,33905.5757552853,1269.42623106133,35175.00198634663
2025-04-30,6000.0,6000.0,57703.870670154996,41.197246502584974,17957.828023239377,14545.840698823893,6076.226158908771,34061.31505502087,88.04237946680226,34149.35743448767
2025-05-01,6000.0,6000.0,52017.91264843187,3721.0885429522536,19930.8862350967,16144.017850428325,940.7540067157562,31433.097140341742,15648.232803811734,47081.32994415348
2025-05-02,6000.0,6000.0,25852.562456500484,3371.653659501253,16203.403592991604,13124.756910323198,11855.249349999998,12511.907813079655,14140.19483816043,26652.102651240086
2025-05-03,6000.0,6000.0,27211.308558161872,1607.3560641973186,16196.718382190049,13119.341889573941,16874.116479743083,13512.195464706852,7619.576625849784,21131.77209055664
2025-05-04,6000.0,6000.0,57988.710355172014,1707.2495937719218,18148.035300624644,14699.908593505961,4513.165908491924,34907.720865527204,8175.48055333245,43083.20141885965
2025-05-05,6000.0,6000.0,66695.71105274219,1656.648306907236,20640.734736096227,16718.995136237943,9354.612959791146,39118.796590574086,7489.080037427089,46607.87662800118
2025-05-06,6000.0,6000.0,60217.89134661164,1533.762240973408,20115.679535616553,16293.700423849416,5059.592109151254,35970.072279003245,6291.875051425809,42261.94733042905
2025-05-07,6000.0,6000.0,62338.78554184054,2143.8781267085924,19187.08195340635,15541.536382259144,5769.272147401931,36775.29888918934,10428.915738264885,47204.214627454225
2025-05-08,6000.0,6000.0,62836.12085983878,35.999250000000075,19025.764280817173,15410.869067461914,3430.712496483523,39396.63300617523,243.22893262500048,39639.86193880023
2025-05-09,6000.0,6000.0,32926.80672553452,0.0,15608.634562396006,12642.993995540764,21461.780308679277,18215.5247315251,0.0,18215.5247315251
2025-05-10,6000.0,6000.0,31080.999619840655,0.0,15375.47285748379,12454.133014561874,16038.614493585406,16930.547278029524,0.0,16930.547278029524
2025-05-11,6000.0,6000.0,61654.22738263237,27.561666666666724,18432.958154758173,14930.69610535412,2695.4479165616585,38074.26184952334,185.80697583333372,38260.06882535668
